category,from type, from name, relationship name, to type, to name, relationship reverse name, date established,end date, comments,,
action-artifact,Action,Cabo Verde Canada project,indicators,Artifact,Measuring sea salt,indicator of,23/05/14,23/05/20,No comments,200 grams/litre,23/05/20
actor « actor embeded,Actor,António Tavares,belongs to,Actor ,Delegação do Desenvolvimento Rural de Santa Cruz,contains,,,No comments,,
actor-action,Actor,António Tavares,implements,Action,Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,implemented by,,,No comments,,
actor-action,Actor,António Tavares,implements,Action,Electrificação através de painéis fotovoltaicos das habitações da localidade de Alto Matinho e do sistema de bombagem  de água que abastece a comunidade e construção de currais para a prática pecuária ,implemented by,01/06/15,01/10/15,No comments,,
actor « actor embeded,Actor,Delegação do Desenvolvimento Rural de Santa Cruz,Partners with,Actor ,Associação Comunitária para Desenvolvimento de Achada ponta,Partners with,,,No comments,,
actor-actor ,Actor,Delegação do Desenvolvimento Rural de Santa Cruz,belongs to,Actor ,Ministerio de Desenvolvimento Rural ,contains,,,No comments,,
actor-actor ,Actor,UNDP Cabo Verde,Partners with,Actor ,Ministerio de Desenvolvimento Rural ,Partners with,,,No comments,,
actor-actor ,Actor,Canadian International Development Agency,Partners with,Actor ,UNDP Cabo Verde,Partners with,,,No comments,,
actor-action,Actor,Albino Barreto,benefits ,Action,Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,benefits funds ,,,No comments,,
actor-actor ,Actor,Albino Barreto,"belongs to, heads",Actor ,Associação Comunitária para Desenvolvimento de Achada ponta,contains,,,No comments,,
actor-action,Actor,Domingos Ribeiro,benefits ,action,Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,benefits funds ,,,No comments,,
actor-action,Actor,Luciano Cardoso,benefits ,action,Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,benefits funds ,,,No comments,,
actor-actor ,Actor ,Delegação do Desenvolvimento Rural de Santa Cruz,Partners with,Actor ,Associação Comunitária para o Desenvolvimento de Matinho ,contains,,,No comments,,
action-artifact,Action,Projeto de Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,indicators,Artifact,Aquisição de botes novos . ,indicator of,,,No comments,2 botes ,
action-artifact,Action,Projeto de Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,indicators,Artifact,Aquisição de botes,indicator of,,,No comments,7 metros,
action-artifact,Action,Projeto de Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,indicators,Artifact,Construção e equimapento de 20 industrias,indicator of,,,No comments,20 indústrias,
action-artifact,Action,Projeto de Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,indicators,Artifact,Aquisição de embarcações de maiores dimensões ,indicator of,,,No comments, 2 embarcações,
action-artifact,Action,Projeto de Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,indicators,Artifact,Aquisição de arcas frigoríficas ,indicator of,,,No comments, 20 arcas,
action-artifact,Action,Projeto de Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,indicators,Artifact,Rearranjo e equipamento de botes danificados,indicator of,,,No comments, 5 botes,
action-artifact,Action,Electrificação através de painéis fotovoltaicos das habitações da localidade de Alto Matinho e do sistema de bombagem  de água que abastece a comunidade e construção de currais para a prática pecuária ,indicators,Artifact,Selecionar beneficiários para a eletrificação das habitações recorrendo a painéis fotovoltaicos,indicator of,,,No comments, 20 beneficiários,
action-artifact,Action,Electrificação através de painéis fotovoltaicos das habitações da localidade de Alto Matinho e do sistema de bombagem  de água que abastece a comunidade e construção de currais para a prática pecuária ,indicators,Artifact,Selecionar beneficiários para a construção de currais ,indicator of,,,No comments,10 beneficiários,
action-artifact,Action,Electrificação através de painéis fotovoltaicos das habitações da localidade de Alto Matinho e do sistema de bombagem  de água que abastece a comunidade e construção de currais para a prática pecuária ,indicators,Artifact,construção de currais,indicator of,,,No comments, 10 currais,
action-artifact,Action,Electrificação através de painéis fotovoltaicos das habitações da localidade de Alto Matinho e do sistema de bombagem  de água que abastece a comunidade e construção de currais para a prática pecuária ,indicators,Artifact,Eletrificação da bomba de abastecimento de água recorrendo à utilização de painéis fotovoltaicos,indicator of,,,No comments,,
